CONTRACT_NAME,CONTRACT_CLASS_HASH,CONTRACT_ADDR,TEST_PASSED
EX00Base,0x79f1ec1f451548eb27337f42841185b42acd6b9afbb28ae9d89a9527847c54,,
EX11Base,0x43a00c05a464a352d6474e6b6c24966f4b2d2b3509b082689044cd00cfc3b70,,
ERC20Base,0x68c7dea0af3d8a5d86675e8691af52605d6236ec0483209fdf27bdaaabaa364,,
TDERC20,0x6b1cea5c54aef607edc926dec33a205d3da187ad8c1514706ab1e28db425138,0x06905d4f8391f7a74c86b072b8340ecf8b223cb5c1f135f76e33f8a46daed33e,
PlayersRegistry," 0x7a6e514bb54d60ac1cfe8c53a872fbc23ebf25137d093c23c3bf01a6ae5b1c6",0x05a39bbf0681239035cbf3ee677a2dafc62acdc8b6a563d15e9e32afc7637969,
ex01," 0xe200aa0be9e2ff98cb8f3922f82b9508c24017207cc637f2f1193e79ca803e",0x03ae26eadec4a418da4d64911a7856f1caadcf0acc89695842bd997db15ca155,
ex02," 0x4070836bc88356c93b78ff9abf295986543c48cae1aecb5d222d1a8b6092c0a",0x07937be1236f9936fcb32531e916dd3b4229590ca335ce1fa5568c57ada44913,
ex03," 0x2deedb948926e551309bed476ca866b56dc7849760b02ef9ce31356a0ea4e4f",0x010c98493876e415878893f8ca99b185aa46910ff74c68a126621987252f617c,
ex04," 0x9d9b18fda9d397eaa886bcbdb53a384199246bf2510893c1c403c673b44b1c",0x053f27edac3cc5cb93b2b4f144302313a141061ddd7ab9da0bb65a988fb8c3f3,
ex05,0x696efe990401c8457a60a32519253a13c2c58427f2e1ce6d42add395c4e13e8,0x0326b358e1885904cafa01277e4ec48a05949b326855872a52e0c547c1978eb6,
ex06,0x46f788c1295093b700a745fef0a4fc7da1348d5208435b715ab20a3400eb1e3,0x0662ccad57d20f9a1c4a056c5cfecff18b44eb849489dc121df239c9922eb916,
ex07,0x76c22e5d4c10804d28506e4c14f470fc48d168af5fcbb31472ab48bc31d610f,0x078d4526909e1f6729b7d36636961fe99462b52ff0dd73a366c90bfb99ef6cac,
ex08,0x6ba4fbc0462425ff3f3d66da3d125d803f68ef29a3e32942866db726003b29c,0x04529b287ddca5067716ada44ce1eaa8c2fef35a872d8a1113d3d9c10182f2ad,
ex09,0x10581227a879aa9a02d90319c6e9ca33448c7f73fa9d99b03087e273d55a2ec,0x92be17e1c8d65cfa46ba88841b7912fae165ea5dbede2cf38aa9e48ae935f2,
ex10,0x334e1e4d148a789fb44367eff869a6330693037983ba6fd2291b2be1249e15a,0x07b9842cd51a0ca05b706a257ba17807f011c8d61cf6182443711d4232b66ab7,
ex10b,0x32a35c4bf9c8148689002ca501c973a135a30457c6507e28261bed0c3a1f35,0x060c73653278c7c8d0088574e5b99e75589d7335a6724209e7b21934cc871e6e,
ex11,0xb10d8c36f68c73317a0539d11dd001ed88a9445cc0cc90ef5812782c837d3f,0x04ce789505c76b748f497a98484d284b2b679d5c545193b1c492e3e3c53a69ea,
ex12,0x5d22220dc9cdb39480fe641b0dd5cdc6c7662db73c3935a43bffe8f100cf240,0x072d2ce5d5fd2e1d70f22c02bbc47edd99c729cfb9b5e84399fdfb771b3d00b7,
ex13,0x2dd0f9e18a2fab96119d14e5e0f323d17a5539a2b9bb093b219abdf9b72657,0x01db0fca7f316bcca202b419c94c9c88aa19817508320515791da85973992d6e,
ex14,0x180c3fd6eaa00892a38b5713531acb3a1b7feca3f78ff4bdaa707fcc3545d27,0x037068ccf5500524d22d1f083863ebae5bdbdd29070c02f9c53873f173f165f6,